"story_link","user_code","age_group","agreed","close_date_time","close_timestamp","created","department","disability","ease","environment","experiment_date_datepicker","gender","id","open_date_time","open_timestamp","story_date","story_source","story_title","summary","task_condition","task_key","task_level","time_taken_in_seconds","what","when_happened","where_location","who","why"
"https://www.thepharmaletter.com/article/ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","GOLD_1","21_30","true","2021-10-15 10:56:44","1636973804011","15/11/2021 10:56:46","Computing","false","5","production","2021-11-15","female","d5c7c0e4-9f4a-4e76-ba04-b073eff247dc","2021-10-15 10:47:42","1636973262564","2020-04-21 00:00:00","tpl","Ivermectin can kill COVID-19 within 48 hours', Monash University study finds","An Australian study shows that Ivermectin can kill the COVID virus in 48 hours. It is a widely available drug, already approved and in use in the US. It's not sure how it works killing the COVID virus, but it's thought that it doesn't damp down that much the body cells, allowing them to clear the virus. More information will be available after the next pre-clinical studies. ","text","ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","post_graduate_phd","541447","a new study showing the potential of Ivermectin to kill the COVID virus","few_years_ago","Australia","Peter Doherty Institute of Infection and Immunity, Australia's Monash Biomedicine Discovery Institute","a way to slow the COVID pandemic until the vaccine will be widely available "
"https://www.thepharmaletter.com/article/ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","GOLD_11","21_30","true","2021-10-20 10:29:26","1637404166432","20/11/2021 10:29:25","Computing","false","2","production","2021-11-20","female","cd783969-0843-42e7-8b11-d45e88954d2f","2021-10-20 10:23:57","1637403837251","2020-04-21 00:00:00","tpl","Ivermectin can kill COVID-19 within 48 hours', Monash University study finds","This is a study that shows that invermectin might be able to kill covid. There is limited testing and results are dependent","viz","ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","post_graduate_ma_msc","329181","invermectin use as a COVID treatment ","current_month","Monash University","Dr Kylie Wagstaff, invermectin","study shows one possible covid treament "
"https://www.thepharmaletter.com/article/ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","GOLD_12","upto_20","true","2021-10-21 10:36:25","1637490985652","21/11/2021 10:36:27","Anthropology ","false","4","production","2021-11-21","female","74ac40ae-e604-4813-a527-7b965063fecf","2021-10-21 10:30:14","1637490614316","2020-04-21 00:00:00","tpl","Ivermectin can kill COVID-19 within 48 hours', Monash University study finds","A drug called Ivermectin could potentially be used to treat COVID-19 within 48 hours. As it is already an approved drug this is very important as the vaccine could take a while to be widely available. ","text","ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","under_graduate_year_2","371336","an anti-parastic drug that alredy exists in the world called ivermectin that could be used to treat COVID-19","current_month","Australias Monash biomedicine discovery institution ","Peter Doherty, Kylie Wagstaff","Because it is a possible cure for corona virus "
"https://www.thepharmaletter.com/article/ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","GOLD_13","21_30","true","2021-10-21 17:36:49","1637516209577","21/11/2021 17:36:49","Institute of Management Studies","false","4","production","2021-11-21","female","45a30c45-6580-46fd-a43b-34d8d8823d0c","2021-10-21 17:31:44","1637515904557","2020-04-21 00:00:00","tpl","Ivermectin can kill COVID-19 within 48 hours', Monash University study finds","Ivermectin, an FDA-approved drug, is found to be able to significantly reduce the viral RNA within 24 hours, as shown in a study. However, more trials are needed in order to find the right amount that is safe for human consumption, and still be effective against COVID-19.","text","ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","post_graduate_ma_msc","305020","Ivermectin being able to kill COVID-19 virus","few_years_ago","Australia","Dr Kylie Wagstaff","An already approved drug that can kill the virus and end the pandemic sooner"
"https://www.thepharmaletter.com/article/ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","GOLD_14","21_30","true","2021-10-22 10:55:0","1637578500039","22/11/2021 10:55:00","Department of Art","false","3","production","2021-11-22","female","4be7942f-882f-43db-bcbf-f13930e00c16","2021-10-22 10:51:44","1637578304447","2020-04-21 00:00:00","tpl","Ivermectin can kill COVID-19 within 48 hours', Monash University study finds","Ivermectin can kill COVID-19 within 48 hours', Dr Kylie Wagstaf in Monash University study finds depending on the testing results","viz","ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","post_graduate_ma_msc","195592","Ivermectin can kill COVID-19 within 48 hours', Monash University study finds","few_years_ago","Australia","Ivermectin","Ivermectin can kill COVID-19 within 48 hours"
"https://www.thepharmaletter.com/article/ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","GOLD_15","41_50","true","2021-10-23 11:5:38","1637665538257","23/11/2021 11:05:39","Sociology","false","2","production","2021-11-23","female","4ea64f10-0fd0-4fa5-b6e8-322ccefb5803","2021-10-23 10:58:42","1637665122700","2020-04-21 00:00:00","tpl","Ivermectin can kill COVID-19 within 48 hours', Monash University study finds","A new antiviral drug called Invermectin has been unveiled by a team of scientists at Monash University headed by Dr Kylie Wagstaff. The drug has been found to kill the Covid-19 virus within 48 hours in research trials. ","viz","ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","post_graduate_phd","415557","An antiviral drug that can supposedly kill the covid-19 virus.","today","Monash University ","Dr Kylie Wagstaff","A new treatment discovered that can potentially help in the fight against the covid-19 virus."
"https://www.thepharmaletter.com/article/ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","GOLD_16","21_30","true","2021-10-22 18:31:35","1637605895005","22/11/2021 18:31:35","English and Creative Writing","false","4","production","2021-11-22","female","d9cde3e6-eeec-4a21-8053-de03211f0a27","2021-10-22 18:19:17","1637605157675","2020-04-21 00:00:00","tpl","Ivermectin can kill COVID-19 within 48 hours', Monash University study finds","A collaborative study by the University of Melbourne and Royal Melbourne Hospital has shown that Ivermectin, a US Food and Drug Administration-approved anti-parasitic drug, kills the SARS-CoV-2 virus.","text","ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","post_graduate_ma_msc","737330","Ivermectin stopped the SARS-CoV-2 virus","few_years_ago","Australia","Dr Kylie Wagstaff","Cure for SARS-CoV-2"
"https://www.thepharmaletter.com/article/ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","GOLD_17","21_30","true","2021-10-23 13:24:18","1637673858518","23/11/2021 13:24:19","Computing","false","4","production","2021-11-23","female","7a895181-eff6-4421-bef1-7aaf82e0bb98","2021-10-23 13:17:22","1637673442280","2020-04-21 00:00:00","tpl","Ivermectin can kill COVID-19 within 48 hours', Monash University study finds","An anti-parasitic drug already available around the world kills the virus within 48 hours, and scientists in Monash BDI are figuring out whether it is effective in humans. Moreover, a study is also underway to see if Ivermectin can fight the coronavirus.","text","ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","post_graduate_ma_msc","416238","An anti-parasitic drug already available around the world kills the virus within 48 hours, and scientists in Monash BDI are figuring out whether it is effective in humans.","few_years_ago","Australia","an anti-parasitic drug named Ivermectin","If we had a compound that was already available around the world then that might help people sooner"
"https://www.thepharmaletter.com/article/ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","GOLD_18","21_30","true","2021-10-24 13:44:12","1637761452046","24/11/2021 13:44:12","Computing","false","2","production","2021-11-24","male","f20e92f9-68f0-40ae-9f26-af3769d132aa","2021-10-24 13:39:58","1637761198510","2020-04-21 00:00:00","tpl","Ivermectin can kill COVID-19 within 48 hours', Monash University study finds","A drug called ivermectin, developed by Dr Kylie Wagstaff, has gone through clinical studies to combat viruses as an anti-viral and proved to be effective.","viz","ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","post_graduate_ma_msc","253536","Ivermectin, drug study, viruses","few_years_ago","Ivermectin","Ivermectin, Dr Kylie Wagstaff","It talks about the development of a drug in relation to anti-viral research"
"https://www.thepharmaletter.com/article/ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","GOLD_19","31_40","true","2021-10-24 18:47:12","1637779632479","24/11/2021 18:47:14","Institute of Creative and Cultural Entrepreneurship","false","4","production","2021-11-24","female","10940248-d85b-4f40-8cef-683828d92b16","2021-10-24 18:38:5","1637779085169","2020-04-21 00:00:00","tpl","Ivermectin can kill COVID-19 within 48 hours', Monash University study finds","This article talked about how Monash University conducted an antiviral research and found that Ivermectin to be effective in inhibiting and stopping viruses like Covid-19. It was led by Dr Kylie Wagstaff, whom claims that Ivermectin was used to test on cells and that it works in killing covid-19 within 48 hours. ","viz","ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds","post_graduate_ma_msc","547310","How Ivermectin can kill covid-19 within 48 hours, Dr Kylie Wagstaff claims that studies show Ivermectin stop viruses and that it works. ","few_years_ago","Monash University, Research centre","Monash University, people, Dr Kylie Wagstaff","Kills Covid-19, stops viruses, inhibits and stops virus in the body"
