text,viz
638012.5,380589.5
346498.0,382806.5
353170.5,376552.0
355178.0,380549.0
378674.0,154336.0
662273.0,394106.0
611229.0,490747.5
539033.5,577678.5
443130.5,268652.0
690639.0,593347.5
687191.5,363272.5
435234.0,374878.5
511008.0,565882.0
575599.5,282422.0
357404.0,498735.5
493215.0,538300.5
248247.5,175419.5
712914.0,267072.5
632406.5,598222.5
530634.5,456224.0
655617.0,756159.0
317282.5,301715.0
684403.0,397393.5
483465.5,496730.0
352165.5,276463.0
468117.5,710043.5
331405.0,281004.5
644662.5,876936.5
591200.0,398304.5
637522.0,615984.0
560420.0,407998.0
440842.5,473864.0
